Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
290000,-1.2698265,2.6781714,55.48780487804878,55.48780487804878,236.375,1.0
300000,-1.0949738,2.6527588,53.02325581395349,53.02325581395349,238.9047619047619,1.0
310000,-1.2643614,2.6528273,58.25581395348837,58.25581395348837,234.42857142857142,1.0
320000,-1.2502233,2.6554203,55.833333333333336,55.833333333333336,232.97619047619048,1.0
330000,-1.0787517,2.6475043,61.11363636363637,61.11363636363637,232.27272727272728,1.0
340000,-1.1543096,2.621157,53.35,53.35,234.775,1.0
350000,-0.8276682,2.624767,51.69047619047619,51.69047619047619,239.63636363636363,1.0
360000,-0.5602877,2.5652711,56.67391304347826,56.67391304347826,231.13953488372093,1.0
370000,-0.41938,2.5742102,62.095238095238095,62.095238095238095,224.17021276595744,1.0
380000,0.11696544,2.5392888,61.391304347826086,61.391304347826086,223.7560975609756,1.0
390000,0.6625139,2.5360966,70.60416666666667,70.60416666666667,214.90196078431373,1.0
400000,0.11048384,2.5456038,68.76190476190476,68.76190476190476,217.07692307692307,1.0
410000,0.3231953,2.542124,64.51063829787235,64.51063829787235,221.10638297872342,1.0
420000,0.021447921,2.5133479,61.51162790697674,61.51162790697674,220.32558139534885,1.0
430000,0.6443051,2.4979613,62.6078431372549,62.6078431372549,218.50980392156862,1.0
440000,0.048095006,2.4963572,61.68421052631579,61.68421052631579,218.28947368421052,1.0
450000,0.83589643,2.4890156,57.57142857142857,57.57142857142857,220.9591836734694,1.0
460000,0.5898847,2.4599235,58.02127659574468,58.02127659574468,219.68085106382978,1.0
470000,-0.057948526,2.4801707,61.51282051282051,61.51282051282051,220.5897435897436,1.0
480000,1.2352356,2.4430838,67.28,67.28,217.7,1.0
490000,0.79091847,2.440475,67.17391304347827,67.17391304347827,216.5531914893617,1.0
500000,1.405279,2.4116583,67.4375,67.4375,214.7659574468085,1.0
510000,0.8485996,2.4109008,62.395348837209305,62.395348837209305,216.3953488372093,1.0
520000,1.669608,2.4094079,65.85714285714286,65.85714285714286,214.28571428571428,1.0
530000,1.7570882,2.3930094,73.22222222222223,73.22222222222223,214.37777777777777,1.0
540000,2.2152483,2.3648689,71.85714285714286,71.85714285714286,214.14285714285714,1.0
550000,1.5817562,2.3428922,74.73170731707317,74.73170731707317,209.9268292682927,1.0
560000,3.1002703,2.3249652,58.91836734693877,58.91836734693877,217.51020408163265,1.0
570000,3.9492233,2.286609,79.96,79.96,201.40816326530611,1.0
