Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1020000,0.8932314,-0.005167036,237.82051282051282,-0.05373687806882357,-0.05373687806882357,1.0
1030000,0.8674041,-0.008661533,297.0,-0.21612125567414545,-0.21612125567414545,1.0
1040000,0.8879746,-0.006028999,284.8205128205128,-0.10795836970210075,-0.10795836970210075,1.0
1050000,0.8481923,0.0097582685,239.65,-0.058290629814832635,-0.058290629814832635,1.0
1060000,0.87527865,0.0009713107,272.8484848484849,-0.023960816509583416,-0.023960816509583416,1.0
1070000,0.8522688,-0.008746479,302.09090909090907,-0.3105656956181382,-0.3105656956181382,1.0
1080000,0.84412575,-0.000725422,314.45714285714286,-0.2978000427995409,-0.2978000427995409,1.0
1090000,0.8638167,-0.016219327,285.1621621621622,-0.17603607234117147,-0.17603607234117147,1.0
1100000,0.83232504,-0.0073416806,237.88571428571427,0.009009779814411612,0.009009779814411612,1.0
1110000,0.82290596,0.0007578221,270.9268292682927,-0.04883724693642106,-0.04883724693642106,1.0
1120000,0.7876935,-0.0025988948,215.375,-0.08047829066281734,-0.08047829066281734,1.0
1130000,0.8259857,0.004212533,236.1315789473684,-0.0509572928914657,-0.0509572928914657,1.0
1140000,0.8022063,0.011910128,230.44444444444446,0.020021709411040596,0.020021709411040596,1.0
1150000,0.7467848,0.01004661,232.97619047619048,-0.03744447905392874,-0.03744447905392874,1.0
1160000,0.76522183,0.002742338,234.02439024390245,-0.06623336635529994,-0.06623336635529994,1.0
1170000,0.69174176,0.019483805,280.69444444444446,-0.28278381760055954,-0.28278381760055954,1.0
1180000,0.7117795,0.012229107,220.52083333333334,-0.14114586729556322,-0.14114586729556322,1.0
1190000,0.74782884,0.017295446,235.33333333333334,-0.13190744010110697,-0.13190744010110697,1.0
1200000,0.7592203,0.020350631,265.0652173913044,-0.0871555937661065,-0.0871555937661065,1.0
1210000,0.78892684,0.0120857125,188.61363636363637,0.11613331122530832,0.11613331122530832,1.0
1220000,0.7615742,0.016119575,228.84782608695653,-0.06008151090807385,-0.06008151090807385,1.0
1230000,0.7087524,0.01808745,235.55,0.08279671937954135,0.08279671937954135,1.0
1240000,0.73341703,0.012375103,224.90697674418604,-0.1801938282888989,-0.1801938282888989,1.0
1250000,0.7353334,0.02633123,228.39583333333334,-0.01936114113777876,-0.01936114113777876,1.0
1260000,0.7124268,0.02596721,212.0212765957447,0.11634039704469924,0.11634039704469924,1.0
1270000,0.72280854,0.014189152,240.9268292682927,-0.14536588275577964,-0.14536588275577964,1.0
1280000,0.7098519,0.014263203,208.44897959183675,0.05236731895378658,0.05236731895378658,1.0
1290000,0.64497274,0.009093538,214.51162790697674,-0.06165894016970035,-0.06165894016970035,1.0
1300000,0.70504475,0.01747122,208.2826086956522,-0.055768145005340164,-0.055768145005340164,1.0
1310000,0.70332813,-0.00298081,237.37777777777777,-0.15041484816206827,-0.15041484816206827,1.0
1320000,0.6976357,-0.0023752681,206.61904761904762,-0.03474606041397367,-0.03474606041397367,1.0
1330000,0.6469763,0.0016728294,256.95348837209303,-0.0697222538292408,-0.0697222538292408,1.0
1340000,0.70894927,0.011572865,216.96,-0.044613366723060606,-0.044613366723060606,1.0
1350000,0.6899258,0.010253888,211.31914893617022,-0.16592201622242622,-0.16592201622242622,1.0
1360000,0.69496375,0.0020659643,198.53191489361703,-0.026784752029925585,-0.026784752029925585,1.0
1370000,0.7111641,0.012757233,186.40740740740742,0.10122837209039265,0.10122837209039265,1.0
1380000,0.6346667,0.009112024,218.17777777777778,-0.05059093626385385,-0.05059093626385385,1.0
1390000,0.6671704,0.010807527,216.7659574468085,-0.031243082601577044,-0.031243082601577044,1.0
1400000,0.6773226,0.015255305,200.9795918367347,0.04347055931301678,0.04347055931301678,1.0
1410000,0.67495406,0.026946157,186.16,0.03763330668210983,0.03763330668210983,1.0
1420000,0.67524827,0.028570544,219.89361702127658,0.1783124712916712,0.1783124712916712,1.0
1430000,0.6523878,0.018290054,196.66666666666666,0.09869278514502096,0.09869278514502096,1.0
1440000,0.58190817,0.02376606,189.2549019607843,0.09196729505178976,0.09196729505178976,1.0
1450000,0.5948894,0.024295138,216.68085106382978,-0.1508261166189028,-0.1508261166189028,1.0
1460000,0.62308955,0.030000126,189.9245283018868,0.061734543906317815,0.061734543906317815,1.0
1470000,0.5820801,0.024150804,200.06666666666666,0.12410368008746041,0.12410368008746041,1.0
1480000,0.5611593,0.022400819,203.46153846153845,-0.04938464024319099,-0.04938464024319099,1.0
1490000,0.46746147,0.01893761,250.05263157894737,-0.20553512047780187,-0.20553512047780187,1.0
1500000,0.52850556,0.024187487,224.72340425531914,-0.21407973993083704,-0.21407973993083704,1.0
1510000,0.593618,0.029018795,200.76785714285714,0.04254419356584549,0.04254419356584549,1.0
1520000,0.5154676,0.019226246,197.525,0.0299721946939826,0.0299721946939826,1.0
