Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
350000,3.418938,5.101891397193411,3.882396,0.3959731543624161,0.3959731543624161,1.0
360000,3.418938,5.102626756261454,3.8701825,0.4255189255189255,0.4255189255189255,1.0
370000,3.418938,5.086479902557857,3.8683066,0.40632603406326034,0.40632603406326034,1.0
380000,3.4189382,5.097680097680097,3.8549166,0.40792682926829266,0.40792682926829266,1.0
390000,3.4189382,5.100061012812691,3.8536806,0.4020744356314826,0.4020744356314826,1.0
400000,3.418938,5.084601339013998,3.839217,0.4276155717761557,0.4276155717761557,1.0
410000,3.418938,5.047849788007269,3.8386815,0.411373260738052,0.411373260738052,1.0
420000,3.4189382,5.056363636363637,3.8231196,0.4015748031496063,0.4015748031496063,1.0
430000,3.4189382,5.118727050183598,3.8231196,0.41162079510703364,0.41162079510703364,1.0
440000,3.4189382,5.004204204204204,3.8069308,0.44357743097238894,0.44357743097238894,1.0
450000,3.4189382,5.088468578401464,3.806614,0.4104750304506699,0.4104750304506699,1.0
460000,3.418938,5.130594727161251,3.7909408,0.4025735294117647,0.4025735294117647,1.0
470000,3.4189382,5.130755064456722,3.7897642,0.4,0.4,1.0
480000,3.418938,5.103111653447224,3.7745419,0.4008541793776693,0.4008541793776693,1.0
490000,3.4189382,5.115125535823638,3.7725105,0.4018348623853211,0.4018348623853211,1.0
500000,3.418938,5.091352009744214,3.757754,0.4064594759293114,0.4064594759293114,1.0
510000,3.4189382,5.112745098039215,3.7548614,0.40036674816625917,0.40036674816625917,1.0
520000,3.4189382,5.126225490196078,3.7406871,0.41334966319657074,0.41334966319657074,1.0
530000,3.418938,5.127529123237278,3.7368762,0.4056372549019608,0.4056372549019608,1.0
540000,3.4189382,5.106422018348624,3.7233012,0.3897373243738546,0.3897373243738546,1.0
550000,3.4189382,5.130674846625767,3.718571,0.39975475168608215,0.39975475168608215,1.0
560000,3.418938,5.143120393120393,3.705614,0.3998771498771499,0.3998771498771499,1.0
570000,3.418938,5.049001814882033,3.6999204,0.42019347037484883,0.42019347037484883,1.0
580000,3.4189382,5.05942995755003,3.6877942,0.4103030303030303,0.4103030303030303,1.0
590000,3.4189382,5.058146577831617,3.6809733,0.4194915254237288,0.4194915254237288,1.0
600000,3.418938,5.0404833836858005,3.6696024,0.4326283987915408,0.4326283987915408,1.0
610000,3.418938,5.131288343558282,3.6617305,0.4375,0.4375,1.0
620000,3.418938,5.054512416717141,3.651108,0.39975772259236825,0.39975772259236825,1.0
630000,3.4189382,5.090909090909091,3.6422658,0.41681901279707495,0.41681901279707495,1.0
640000,3.4189382,5.186996904024768,3.6323898,0.39332096474953615,0.39332096474953615,1.0
650000,3.4189382,5.086532602071907,3.6224277,0.42935444579780757,0.42935444579780757,1.0
660000,3.418938,5.120710784313726,3.6134672,0.40758873929008566,0.40758873929008566,1.0
670000,3.418938,5.082166768107121,3.6023436,0.40206812652068125,0.40206812652068125,1.0
680000,3.418938,5.06913280776228,3.5941303,0.41600970285021227,0.41600970285021227,1.0
690000,3.418938,5.04969696969697,3.5819774,0.44128329297820823,0.44128329297820823,1.0
700000,3.418938,5.105006105006105,3.5748322,0.4175824175824176,0.4175824175824176,1.0
710000,3.4189382,5.128834355828221,3.561372,0.4166666666666667,0.4166666666666667,1.0
720000,3.418938,5.075941676792223,3.5550704,0.4088699878493317,0.4088699878493317,1.0
730000,3.418938,5.0247435123717565,3.5405018,0.4026522001205545,0.4026522001205545,1.0
740000,3.4189382,5.114513165952235,3.535065,0.41345565749235474,0.41345565749235474,1.0
750000,3.418938,5.106227106227106,3.519337,0.41122635753508235,0.41122635753508235,1.0
760000,3.4189382,5.027141133896261,3.514898,0.44183242917420135,0.44183242917420135,1.0
770000,3.4189382,5.074863055386488,3.4979916,0.39574468085106385,0.39574468085106385,1.0
780000,3.4189382,5.082674772036474,3.4945993,0.42127659574468085,0.42127659574468085,1.0
